movie|celeb|review
Residue 2017|Rusty Nixon|Private investigator Luke Harding (James Clayton) reads a book of sinister origins owned by seedy crime lord Mr. Fairweather (Matt Frewer). Unbeknownst to Luke, the book is a much sought-after supernatural artifact and Fairweather's greatest rival, the enigmatic Mr. Lamont (William B. Davis), pursues Luke with his henchmen (Costas Mandylor, Michael Matic). While the criminal underworld is desperate to retrieve the book and harness its power for their own dark agendas, it's evil begins to take root in Luke's apartment; putting himself, his daughter (Taylor Hickson) and his secret love (Elysia Rotaru) in a fight for their lives... and their eternal souls.
Candiland|Rusty Nixon|New lovebirds Peter and Tess find solace in each other's brokenness. They decide to isolate themselves from the world inside Peter's apartment, creating their own reality - CANDiLAND, but their possessive love descends into a surreal savagery. Cut-off, Peter's father must fight to save them both before they completely disappear into madness.
Dr Ducks Super Secret All Purpose Sauce 1985|William Dear|Michael Nesmith (famed as the talented one from '60s pop-band The Monkees) directed this melange of music and comedy clips starring Whoopi Goldberg, Garry Shandling, Rosanne Cash, Jay Leno and Jimmy Buffett.
Without A Paddle Natures Calling|Ellory Elkayem|Two best friends and a British nature enthusiast set out on a wilderness adventure they'll never forget in this sequel to the rowdy 2004 comedy Without a Paddle. Upon venturing into the woods in search of a high school sweetheart, a pair of best buds (Oliver James and Kristopher Turner) is joined by a wild Brit (Rik Young) who couldn't resist the call of the wild. As the stakes get higher and the squirrels turn hostile, the hapless trio attempts to navigate a raging river while realizing that sometimes nature isn't all it's cracked up to be.
Nobody Knows Anything|William Tannen|An aspiring filmmaker learns that success in Hollywood doesn't come as easy as she suspected as she attempts to discover the formula to success in this satirical comedy from director William Tannen. When the guidance of her helpful has-been uncle (Michael Lerner) fails to pave the way, Sarah Wilder (Alannah Ubach) must seek the advice of such Hollywood heavies as Mike Meyers, Ben Stiller, and Fred Willard -- only to discover that the old adage is true and Nobody Knows Anything about how to succeed in the cutthroat world of Los Angeles.
Too Big To Fail 2011|Curtis Hanson|Oscar-winning director Curtis Hanson (8 Mile, L.A. Confidential) adapts author Andrew Ross Sorkin's penetrating expose of the 2008 Wall Street financial crisis in this made-for-HBO docudrama featuring an all-star cast. As the U.S. economy hits the skids, Treasury Secretary Henry Paulson (William Hurt) finds himself caught up in a critical battle of wills between the key players on Wall Street, and the powers that be in Washington, D.C. With just weeks to go before the country plunges into the most devastating financial crash since the Great Depression, the powerbrokers on both sides scramble to pull the failing economy back from the brink of disaster. Ed Asner, Billy Crudup, Paul Giamatti, Cynthia Nixon, James Woods, Tony Shalhoub, and Topher Grace co-star. ~ Jason Buchanan, Rovi
Davids Dinosaur|Matthew Charles Hall|Follow the escapades of David and his best friends as they uncover a lost dinosaur egg in their grandfather's house! The children decide to keep it a secret, but when the egg hatches the adventure begins! Now they must protect their discovery from a big game hunter, Jackson Snide, who will stop at nothing to add a baby velociraptor to his private collection of rare discoveries!
Larry Mcmurtrys Dead Mans Walk|Yves Simoneau|Author Larry McMurtry revisits Gus and Woodrow, the aging lawmen from his bestselling Western novel Lonesome Dove, in their early days as young men determined to make a name for themselves as Texas Rangers in this made-for-TV prequel. Gus (David Arquette) and Woodrow (Jonny Lee Miller) join up with a ragtag band of Rangers determined to take Santa Fe away from Mexico, but they soon find they've walked into a dangerous but forbidding territory of populated by hostile Indians and dangerous opportunists. Dead Man's Walk also features Brian Dennehy, F. Murray Abraham, Keith Carradine, and Edward James Olmos.
Dark Country|Thomas Jane|A newly married couple experiences a honeymoon from hell in actor Thomas Jane's directorial debut from Hyde Park Entertainment and Stage 6 Films. The high-definition picture, whose cast includes Ron Perlman and Lauren German, is scheduled for separate 2-D and 3-D engagements.
Give Em Hell Malone|Russell Mulcahy|A legendary gunman discovers why sometimes the simplest-sounding missions can also be the most dangerous when he attempts to recover a briefcase containing "the meaning of love" from a five-star hotel. Even the worst criminals tremble with fear upon hearing the name Malone (Thomas Jane). If only half of the rumors surrounding the tough-as-nails triggerman are true, then he's still the meanest guy ever to walk these unforgiving streets. Some say that Malone picked up his first gun after gangsters killed his entire family, and those are the most optimistic rumors concerning his shady background. Contacted by his point man, Murph, and asked to retrieve a briefcase from a haughty local hotel, Malone makes quick work of the thugs and hitmen who've been awaiting his arrival. But Malone didn't expect to walk into a shoot-out, and after pressing Murph for more information, he discovers that the man who contracted him for the perilous assignment was none other than powerful local mob boss Whitmore. Now that he has the briefcase, Malone is supposed to give it to blonde bombshell Evelyn (Elsa Pataky), who will in turn deliver it to Whitmore in exchange for her brother Sammy. Should the briefcase fail to materialize, Sammy will pay the ultimate price. Meanwhile, suspecting that the case contains work visas for a group of immigrant girls he wants to put to work as prostitutes, Whitmore recruits hulking giant Boulder (Ving Rhames) and blade-wielding psycho Mauler (Chris Yen) to get the briefcase back from Malone. Should they fail in achieving this simple task, deranged pyromaniac Matchstick (Doug Hutchison) will almost certainly succeed. Later, at the drop-off, Mauler kills Sammy, sparking an intense shoot-out during which Malone and Evelyn are separated. With nowhere to run and the three thugs fast gaining ground, Malone vows to protect the contents of the case and take down Whitmore once and for all.
